"","date","ideal_pathways","base_pathways","flat_pathways","ideal_cost","base_cost","flat_cost"
"108",2033-03-01,2042146.03612971,1669187.00269907,1459858,1417517845.48697,1158635240.53603,1013333390.59278
"109",2033-04-01,2048502.86271242,1671259.27785938,1459858,1421930318.91553,1160073671.955,1013333390.59278
"110",2033-05-01,2054879.47693201,1673334.12572384,1459858,1426356527.56571,1161513889.16891,1013333390.59278
"111",2033-06-01,2061275.94038375,1675411.54948645,1459858,1430796514.19273,1162955894.39479,1013333390.59278
"112",2033-07-01,2067692.31485468,1677491.55234513,1459858,1435250321.68493,1164399689.85246,1013333390.59278
"113",2033-08-01,2074128.66232415,1679574.13750181,1459858,1439717993.06412,1165845277.76445,1013333390.59278
"114",2033-09-01,2080585.04496446,1681659.30816239,1459858,1444199571.48603,1167292660.35607,1013333390.59278
"115",2033-10-01,2087061.5251414,1683747.06753672,1459858,1448695100.24075,1168741839.8554,1013333390.59278
"116",2033-11-01,2093558.16541494,1685837.41883868,1459858,1453204622.75311,1170192818.49329,1013333390.59278
"117",2033-12-01,2100075.02853977,1687930.3652861,1459858,1457728182.58312,1171645598.50332,1013333390.59278
"118",2034-01-01,2106612.17746591,1690025.91010082,1459858,1462265823.42636,1173100182.1219,1013333390.59278
"119",2034-02-01,2113169.67533935,1692124.05650869,1459858,1466817589.11446,1174556571.58816,1013333390.59278
"120",2034-03-01,2119747.58550264,1694224.80773956,1459858,1471383523.61547,1176014769.14407,1013333390.59278
"121",2034-04-01,2126345.9714955,1696328.16702727,1459858,1475963671.03432,1177474777.03432,1013333390.59278
"122",2034-05-01,2132964.89705542,1698434.1376097,1459858,1480558075.6132,1178936597.50644,1013333390.59278
"123",2034-06-01,2139604.42611833,1700542.72272874,1459858,1485166781.73206,1180400232.81072,1013333390.59278
"124",2034-07-01,2146264.62281916,1702653.92563031,1459858,1489789833.90896,1181865685.20024,1013333390.59278
"125",2034-08-01,2152945.55149247,1704767.74956434,1459858,1494427276.80055,1183332956.93091,1013333390.59278
"126",2034-09-01,2159647.2766731,1706884.19778482,1459858,1499079155.2025,1184802050.26141,1013333390.59278
"127",2034-10-01,2166369.86309677,1709003.27354977,1459858,1503745514.0499,1186272967.45324,1013333390.59278
"128",2034-11-01,2173113.37570071,1711124.98012126,1459858,1508426398.41773,1187745710.77068,1013333390.59278
"129",2034-12-01,2179877.87962428,1713249.32076539,1459858,1513121853.52127,1189220282.48087,1013333390.59278
"130",2035-01-01,2186663.44020961,1715376.29875233,1459858,1517831924.71656,1190696684.85372,1013333390.59278
"131",2035-02-01,2193470.12300225,1717505.91735632,1459858,1522556657.50081,1192174920.16199,1013333390.59278
"132",2035-03-01,2200297.99375174,1719638.17985565,1459858,1527296097.51286,1193654990.68123,1013333390.59278
